Sr no,College Name,College location,College Location Type (city/ village/ town/ mega city...etc),Type of college (SF/Govt/ GIA),Department (IT/CE/EC/CH/MH/..........),Males-PHD,Males- mtech/ME,Males-Btech,Women-PHD,Women- mtech/ME,Women-Btech,Total Male,Total Female
12,"ADANI UNIVERSITY – FACULTY OF ENGINEERING SCIENCES AND TECHNOLOGY, AHMEDABAD (Constituent Institute of ADANI UNIVERSITY) AIIM Building, Shantigram Near Vaishnodevi Circle, SG Highway, Ahmedabad 382 421, Gujarat. Contact No.: 07925556855 
 Email: info.fest@adaniuni.ac.in 
 Website: https://adaniuni.ac.in/",Ahemdabad,Mega City,SF,CIVIL & INFRASTRUCTURE ENGINEERING,7,0,0,1,0,0,7,1
13,"ADANI UNIVERSITY – FACULTY OF ENGINEERING SCIENCES AND TECHNOLOGY, AHMEDABAD (Constituent Institute of ADANI UNIVERSITY) AIIM Building, Shantigram Near Vaishnodevi Circle, SG Highway, Ahmedabad 382 421, Gujarat. Contact No.: 07925556855 
 Email: info.fest@adaniuni.ac.in 
 Website: https://adaniuni.ac.in/",Ahemdabad,Mega City,SF,COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),4,0,0,4,0,0,4,4
14,"ADANI UNIVERSITY – FACULTY OF ENGINEERING SCIENCES AND TECHNOLOGY, AHMEDABAD (Constituent Institute of ADANI UNIVERSITY) AIIM Building, Shantigram Near Vaishnodevi Circle, SG Highway, Ahmedabad 382 421, Gujarat. Contact No.: 07925556855 
 Email: info.fest@adaniuni.ac.in 
 Website: https://adaniuni.ac.in/",Ahemdabad,Mega City,SF,INFORMATION & COMMUNICATION TECHNOLOGY,10,0,0,2,0,0,10,2
15,"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD (Constituent Institute of SILVER OAK UNIVERSITY) 
 352,353A, Nr. Bhavik Publication, Opp. Bhagvat Vidhyapith, S.G Road, Gota, Ahmedabad-382481 Contact No.: 079-66046304 
 Email: info@silveroakuni.ac.in 
 Website: https://silveroakuni.ac.in/",Ahemdabad,Mega City,SF,AERONAUTICAL ENGINEERING,0,6,0,0,1,0,6,1
16,"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD (Constituent Institute of SILVER OAK UNIVERSITY) 
 352,353A, Nr. Bhavik Publication, Opp. Bhagvat Vidhyapith, S.G Road, Gota, Ahmedabad-382481 Contact No.: 079-66046304 
 Email: info@silveroakuni.ac.in 
 Website: https://silveroakuni.ac.in/",Ahemdabad,Mega City,SF,CHEMICAL ENGINEERING,3,4,1,1,4,1,8,6
17,"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD (Constituent Institute of SILVER OAK UNIVERSITY) 
 352,353A, Nr. Bhavik Publication, Opp. Bhagvat Vidhyapith, S.G Road, Gota, Ahmedabad-382481 Contact No.: 079-66046304 
 Email: info@silveroakuni.ac.in 
 Website: https://silveroakuni.ac.in/",Ahemdabad,Mega City,SF,CIVIL ENGINEERING,1,2,1,1,7,1,4,9
18,"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD (Constituent Institute of SILVER OAK UNIVERSITY) 
 352,353A, Nr. Bhavik Publication, Opp. Bhagvat Vidhyapith, S.G Road, Gota, Ahmedabad-382481 Contact No.: 079-66046304 
 Email: info@silveroakuni.ac.in 
 Website: https://silveroakuni.ac.in/",Ahemdabad,Mega City,SF,COMPUTER ENGINEERING,1,6,0,0,9,0,7,9
19,"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD (Constituent Institute of SILVER OAK UNIVERSITY) 
 352,353A, Nr. Bhavik Publication, Opp. Bhagvat Vidhyapith, S.G Road, Gota, Ahmedabad-382481 Contact No.: 079-66046304 
 Email: info@silveroakuni.ac.in 
 Website: https://silveroakuni.ac.in/",Ahemdabad,Mega City,SF,ELECTRICAL ENGINEERING,0,6,1,0,0,0,7,0
20,"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD (Constituent Institute of SILVER OAK UNIVERSITY) 
 352,353A, Nr. Bhavik Publication, Opp. Bhagvat Vidhyapith, S.G Road, Gota, Ahmedabad-382481 Contact No.: 079-66046304 
 Email: info@silveroakuni.ac.in 
 Website: https://silveroakuni.ac.in/",Ahemdabad,Mega City,SF,INFORMATION TECHNOLOGY,0,7,0,0,6,1,7,7
21,"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD (Constituent Institute of SILVER OAK UNIVERSITY) 
 352,353A, Nr. Bhavik Publication, Opp. Bhagvat Vidhyapith, S.G Road, Gota, Ahmedabad-382481 Contact No.: 079-66046304 
 Email: info@silveroakuni.ac.in 
 Website: https://silveroakuni.ac.in/",Ahemdabad,Mega City,SF,MECHANICAL ENGINEERING,2,21,4,1,2,0,27,3
22,"Anant School for Climate Action, Ahmedabad (Constituent Institute of Anant National University) Sanskardham Campus, Bopal-Ghuma Sanand Road, Ahmedabad - 382115 Contact No.: 02717718322 Email: info@anu.edu.in Website: www.anu.edu.in",Ahemdabad,Mega City,SF,CLIMATE CHANGE,3,1,0,1,2,0,4,3
23,"Atmiya University, Faculty of Engineering and Technology, Rajkot (Constituent Institute of ATMIYA University) 
 Yogidham Gurukul, Kalawad Road, Rajkot Contact No.: 0281 256 3445 
 Email: dy.registrar@atmiyauni.ac.in 
 Website: https://atmiyauni.ac.in/",Rajkot,City,SF,CIVIL ENGINEERING,1,7,0,0,0,0,8,0
24,"Atmiya University, Faculty of Engineering and Technology, Rajkot (Constituent Institute of ATMIYA University) 
 Yogidham Gurukul, Kalawad Road, Rajkot Contact No.: 0281 256 3445 
 Email: dy.registrar@atmiyauni.ac.in 
 Website: https://atmiyauni.ac.in/",Rajkot,City,SF,COMPUTER ENGINEERING,0,5,0,0,6,0,5,6
25,"Atmiya University, Faculty of Engineering and Technology, Rajkot (Constituent Institute of ATMIYA University) 
 Yogidham Gurukul, Kalawad Road, Rajkot Contact No.: 0281 256 3445 
 Email: dy.registrar@atmiyauni.ac.in 
 Website: https://atmiyauni.ac.in/",Rajkot,City,SF,COMPUTER SCIENCE & ENGINEERING,0,0,0,0,2,0,0,2
26,"Atmiya University, Faculty of Engineering and Technology, Rajkot (Constituent Institute of ATMIYA University) 
 Yogidham Gurukul, Kalawad Road, Rajkot Contact No.: 0281 256 3445 
 Email: dy.registrar@atmiyauni.ac.in 
 Website: https://atmiyauni.ac.in/",Rajkot,City,SF,ELECTRICAL ENGINEERING,1,4,0,0,1,0,5,1
27,"Atmiya University, Faculty of Engineering and Technology, Rajkot (Constituent Institute of ATMIYA University) 
 Yogidham Gurukul, Kalawad Road, Rajkot Contact No.: 0281 256 3445 
 Email: dy.registrar@atmiyauni.ac.in 
 Website: https://atmiyauni.ac.in/",Rajkot,City,SF,MECHANICAL ENGINEERING,3,11,0,0,0,,14,0
28,"Atmiya University, Faculty of Engineering and Technology, Rajkot (Constituent Institute of ATMIYA University) 
 Yogidham Gurukul, Kalawad Road, Rajkot Contact No.: 0281 256 3445 
 Email: dy.registrar@atmiyauni.ac.in 
 Website: https://atmiyauni.ac.in/",Rajkot,City,SF,INFORMATION TECHNOLOGY,0,6,0,0,1,0,6,1
29,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,4,2,0,2,4,0,6,6
30,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,AUTOMOBILE ENGINEERING,0,8,0,0,0,0,8,0
31,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,CHEMICAL ENGINEERING,2,0,0,0,1,0,2,1
32,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,CIVIL ENGINEERING,2,4,0,0,3,0,6,3
33,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,COMPUTER ENGINEERING,4,2,0,2,4,0,6,6
34,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,CYBER SECURITY,0,2,0,0,5,0,2,5
35,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,ELECTRICAL ENGINEERING,0,4,0,0,0,0,4,0
36,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,ELECTRONICS & COMMUNICATION ENGINEERING,2,0,0,0,1,0,2,1
37,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,INFORMATION & COMMUNICATION TECHNOLOGY,2,0,0,0,1,0,2,1
38,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,INFORMATION TECHNOLOGY,0,2,0,0,5,0,2,5
39,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,MECHANICAL ENGINEERING,2,6,0,0,2,0,8,2
40,"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli (Constituent Institute of Uka Tarsadia University) Uka Tarsadia University, Maliba Campus, Bardoli Mahuva Road Contact No.: 09909461142 Email: director.cgpit@utu.ac.in Website: https://cgpit-bardoli.edu.in/",Bardoli,Town,SF,MECHATRONICS ENGINEERING,2,6,0,0,2,0,8,2
41,"Darshan Institute Of Engg. & Tech., Rajkot-Morbi Highway, Hadala (Constituent Institute of DARSHAN UNIVERSITY) AT-HADALA, NEAR WATER SUMP, RAJKOT-MORBI HIGHWAY RAJKOT - 363650 Contact No.: 09727747310 Email: info@darshan.ac.in Website: https://darshan.ac.in/",Rajkot,City,SF,CIVIL ENGINEERING,1,14,4,0,0,0,19,0
42,"Darshan Institute Of Engg. & Tech., Rajkot-Morbi Highway, Hadala (Constituent Institute of DARSHAN UNIVERSITY) AT-HADALA, NEAR WATER SUMP, RAJKOT-MORBI HIGHWAY RAJKOT - 363650 Contact No.: 09727747310 Email: info@darshan.ac.in Website: https://darshan.ac.in/",Rajkot,City,SF,COMPUTER SCIENCE & ENGINEERING,2,20,1,2,5,0,23,7
43,"Darshan Institute Of Engg. & Tech., Rajkot-Morbi Highway, Hadala (Constituent Institute of DARSHAN UNIVERSITY) AT-HADALA, NEAR WATER SUMP, RAJKOT-MORBI HIGHWAY RAJKOT - 363650 Contact No.: 09727747310 Email: info@darshan.ac.in Website: https://darshan.ac.in/",Rajkot,City,SF,MECHANICAL ENGINEERING,1,7,0,1,0,0,8,1
44,"Dr. Subhash University, School of Engineering & Technology, Junagadh (Constituent Institute of Dr. Subhash University) Opp. Khodiyar Temple, Dr. Subash Road, Junagadh. Contact No.: 0285 2610055 Email: dean.soet@dsuni.ac.in Website: https://dsuni.ac.in",Junagadh,City,SF,CIVIL ENGINEERING,0,5,0,0,0,0,5,0
45,"Dr. Subhash University, School of Engineering & Technology, Junagadh (Constituent Institute of Dr. Subhash University) Opp. Khodiyar Temple, Dr. Subash Road, Junagadh. Contact No.: 0285 2610055 Email: dean.soet@dsuni.ac.in Website: https://dsuni.ac.in",Junagadh,City,SF,COMPUTER SCIENCE & ENGINEERING,1,5,2,0,2,0,8,2
46,"Dr. Subhash University, School of Engineering & Technology, Junagadh (Constituent Institute of Dr. Subhash University) Opp. Khodiyar Temple, Dr. Subash Road, Junagadh. Contact No.: 0285 2610055 Email: dean.soet@dsuni.ac.in Website: https://dsuni.ac.in",Junagadh,City,SF,ELECTRICAL ENGINEERING,1,8,0,0,0,0,9,0
47,"Dr. Subhash University, School of Engineering & Technology, Junagadh (Constituent Institute of Dr. Subhash University) Opp. Khodiyar Temple, Dr. Subash Road, Junagadh. Contact No.: 0285 2610055 Email: dean.soet@dsuni.ac.in Website: https://dsuni.ac.in",Junagadh,City,SF,ELECTRONICS & COMMUNICATION ENGINEERING,1,3,0,0,0,0,4,0
48,"Dr. Subhash University, School of Engineering & Technology, Junagadh (Constituent Institute of Dr. Subhash University) Opp. Khodiyar Temple, Dr. Subash Road, Junagadh. Contact No.: 0285 2610055 Email: dean.soet@dsuni.ac.in Website: https://dsuni.ac.in",Junagadh,City,SF,INFORMATION TECHNOLOGY,0,1,2,1,2,0,3,3
49,"Dr. Subhash University, School of Engineering & Technology, Junagadh (Constituent Institute of Dr. Subhash University) Opp. Khodiyar Temple, Dr. Subash Road, Junagadh. Contact No.: 0285 2610055 Email: dean.soet@dsuni.ac.in Website: https://dsuni.ac.in",Junagadh,City,SF,MECHANICAL ENGINEERING,1,11,0,0,0,0,12,0
50,"Faculty Of Technology, Dharmsinh Desai University, Nadiad (Constituent Institute of Dharmsinh Desai University) Faculty of Technology, Dharmsinh Desai University, College Road Nadiad, Kheda, Gujarat-387001 Contact No.: 0268 2520502 Email: examcontroller@ddu.ac.in Website: https://www.ddu.ac.in/",Nadiad,City,SF,CHEMICAL ENGINEERING,13,11,0,2,2,0,24,4
51,"Faculty Of Technology, Dharmsinh Desai University, Nadiad (Constituent Institute of Dharmsinh Desai University) Faculty of Technology, Dharmsinh Desai University, College Road Nadiad, Kheda, Gujarat-387001 Contact No.: 0268 2520502 Email: examcontroller@ddu.ac.in Website: https://www.ddu.ac.in/",Nadiad,City,SF,COMPUTER ENGINEERING,4,10,0,1,9,0,14,10
52,"Faculty Of Technology, Dharmsinh Desai University, Nadiad (Constituent Institute of Dharmsinh Desai University) Faculty of Technology, Dharmsinh Desai University, College Road Nadiad, Kheda, Gujarat-387001 Contact No.: 0268 2520502 Email: examcontroller@ddu.ac.in Website: https://www.ddu.ac.in/",Nadiad,City,SF,ELECTRONICS & COMMUNICATION ENGINEERING,9,15,0,1,4,0,24,5
53,"Faculty Of Technology, Dharmsinh Desai University, Nadiad (Constituent Institute of Dharmsinh Desai University) Faculty of Technology, Dharmsinh Desai University, College Road Nadiad, Kheda, Gujarat-387001 Contact No.: 0268 2520502 Email: examcontroller@ddu.ac.in Website: https://www.ddu.ac.in/",Nadiad,City,SF,INFORMATION TECHNOLOGY,2,14,0,0,9,0,16,9
54,"Faculty Of Technology, Dharmsinh Desai University, Nadiad (Constituent Institute of Dharmsinh Desai University) Faculty of Technology, Dharmsinh Desai University, College Road Nadiad, Kheda, Gujarat-387001 Contact No.: 0268 2520502 Email: examcontroller@ddu.ac.in Website: https://www.ddu.ac.in/",Nadiad,City,SF,"INSTRUMENTATION & CONTROL 
 ENGINEERING",3,2,0,0,3,0,5,3
55,"Faculty Of Technology, Dharmsinh Desai University, Nadiad (Constituent Institute of Dharmsinh Desai University) Faculty of Technology, Dharmsinh Desai University, College Road Nadiad, Kheda, Gujarat-387001 Contact No.: 0268 2520502 Email: examcontroller@ddu.ac.in Website: https://www.ddu.ac.in/",Nadiad,City,SF,MECHANICAL ENGINEERING,3,29,0,1,0,0,32,1
56,"Faculty Of Technology, Dharmsinh Desai University, Nadiad (Constituent Institute of Dharmsinh Desai University) Faculty of Technology, Dharmsinh Desai University, College Road Nadiad, Kheda, Gujarat-387001 Contact No.: 0268 2520502 Email: examcontroller@ddu.ac.in Website: https://www.ddu.ac.in/",Nadiad,City,GIA,CIVIL ENGINEERING,3,7,0,0,4,0,10,4
57,"G.H.Patel College Of Engg. & Tech. , V. V. Nagar (Constituent Institute of THE CHARUTAR VIDYA MANDAL UNIVERSITY) 
 BAKROL ROAD VALLABH VIDYANAGAR - 388 120 VALLABH VIDYANAGAR, ANAND, Gujarat Contact No.: 02692231651 
 Email: principal@gcet.ac.in 
 Website: https://www.gcet.ac.in/",Anand,City,SF,CHEMICAL ENGINEERING,6,2,0,0,2,,8,2
58,"G.H.Patel College Of Engg. & Tech. , V. V. Nagar (Constituent Institute of THE CHARUTAR VIDYA MANDAL UNIVERSITY) 
 BAKROL ROAD VALLABH VIDYANAGAR - 388 120 VALLABH VIDYANAGAR, ANAND, Gujarat Contact No.: 02692231651 
 Email: principal@gcet.ac.in 
 Website: https://www.gcet.ac.in/",Anand,City,SF,CIVIL ENGINEERING,0,3,0,2,2,0,3,4
59,"G.H.Patel College Of Engg. & Tech. , V. V. Nagar (Constituent Institute of THE CHARUTAR VIDYA MANDAL UNIVERSITY) 
 BAKROL ROAD VALLABH VIDYANAGAR - 388 120 VALLABH VIDYANAGAR, ANAND, Gujarat Contact No.: 02692231651 
 Email: principal@gcet.ac.in 
 Website: https://www.gcet.ac.in/",Anand,City,SF,COMPUTER ENGINEERING,1,7,0,4,4,0,8,8
60,"G.H.Patel College Of Engg. & Tech. , V. V. Nagar (Constituent Institute of THE CHARUTAR VIDYA MANDAL UNIVERSITY) 
 BAKROL ROAD VALLABH VIDYANAGAR - 388 120 VALLABH VIDYANAGAR, ANAND, Gujarat Contact No.: 02692231651 
 Email: principal@gcet.ac.in 
 Website: https://www.gcet.ac.in/",Anand,City,SF,COMPUTER SCIENCE & DESIGN,1,7,0,4,4,0,8,8
61,"G.H.Patel College Of Engg. & Tech. , V. V. Nagar (Constituent Institute of THE CHARUTAR VIDYA MANDAL UNIVERSITY) 
 BAKROL ROAD VALLABH VIDYANAGAR - 388 120 VALLABH VIDYANAGAR, ANAND, Gujarat Contact No.: 02692231651 
 Email: principal@gcet.ac.in 
 Website: https://www.gcet.ac.in/",Anand,City,SF,COMPUTER SCIENCE & ENGINEERING (IOT),1,7,0,2,4,0,8,6
62,"G.H.Patel College Of Engg. & Tech. , V. V. Nagar (Constituent Institute of THE CHARUTAR VIDYA MANDAL UNIVERSITY) 
 BAKROL ROAD VALLABH VIDYANAGAR - 388 120 VALLABH VIDYANAGAR, ANAND, Gujarat Contact No.: 02692231651 
 Email: principal@gcet.ac.in 
 Website: https://www.gcet.ac.in/",Anand,City,SF,ELECTRICAL ENGINEERING,5,6,0,0,1,0,11,1
63,"G.H.Patel College Of Engg. & Tech. , V. V. Nagar (Constituent Institute of THE CHARUTAR VIDYA MANDAL UNIVERSITY) 
 BAKROL ROAD VALLABH VIDYANAGAR - 388 120 VALLABH VIDYANAGAR, ANAND, Gujarat Contact No.: 02692231651 
 Email: principal@gcet.ac.in 
 Website: https://www.gcet.ac.in/",Anand,City,SF,ELECTRONICS & COMMUNICATION ENGINEERING,6,4,0,1,0,0,10,1
64,"G.H.Patel College Of Engg. & Tech. , V. V. Nagar (Constituent Institute of THE CHARUTAR VIDYA MANDAL UNIVERSITY) 
 BAKROL ROAD VALLABH VIDYANAGAR - 388 120 VALLABH VIDYANAGAR, ANAND, Gujarat Contact No.: 02692231651 
 Email: principal@gcet.ac.in 
 Website: https://www.gcet.ac.in/",Anand,City,SF,INFORMATION TECHNOLOGY,1,7,0,2,4,0,8,6
65,"G.H.Patel College Of Engg. & Tech. , V. V. Nagar (Constituent Institute of THE CHARUTAR VIDYA MANDAL UNIVERSITY) 
 BAKROL ROAD VALLABH VIDYANAGAR - 388 120 VALLABH VIDYANAGAR, ANAND, Gujarat Contact No.: 02692231651 
 Email: principal@gcet.ac.in 
 Website: https://www.gcet.ac.in/",Anand,City,SF,MECHANICAL ENGINEERING,6,4,0,0,0,0,10,0
66,"G.H.Patel College Of Engg. & Tech. , V. V. Nagar (Constituent Institute of THE CHARUTAR VIDYA MANDAL UNIVERSITY) 
 BAKROL ROAD VALLABH VIDYANAGAR - 388 120 VALLABH VIDYANAGAR, ANAND, Gujarat Contact No.: 02692231651 
 Email: principal@gcet.ac.in 
 Website: https://www.gcet.ac.in/",Anand,City,SF,MECHATRONICS,5,4,0,0,0,0,9,0
67,"GYANMANJARI INSTITUTE OF TECHNOLOGY Bhavnagar (Constituent Institute of Gyanmanjari Innovative University) Gyanmanjari Innovative University Sidsar Road, Survey No.30, Bhavnagar-364 060 Contact No.: 07574949494 Email: admissions.acpc@gmiu.edu.in Website: https://gmiu.edu.in/",Bhavnagar,City,SF,COMPUTER ENGINEERING,0,1,0,0,0,0,1,0
68,"GYANMANJARI INSTITUTE OF TECHNOLOGY Bhavnagar (Constituent Institute of Gyanmanjari Innovative University) Gyanmanjari Innovative University Sidsar Road, Survey No.30, Bhavnagar-364 060 Contact No.: 07574949494 Email: admissions.acpc@gmiu.edu.in Website: https://gmiu.edu.in/",Bhavnagar,City,SF,CIVIL ENGINEERING,0,1,0,0,0,0,1,0
69,"GYANMANJARI INSTITUTE OF TECHNOLOGY Bhavnagar (Constituent Institute of Gyanmanjari Innovative University) Gyanmanjari Innovative University Sidsar Road, Survey No.30, Bhavnagar-364 060 Contact No.: 07574949494 Email: admissions.acpc@gmiu.edu.in Website: https://gmiu.edu.in/",Bhavnagar,City,SF,COMPUTER SCIENCE & ENGINEERING (,0,1,0,0,0,0,1,0
